ProviderId,reference,price
292,BIC2777NRD,209799.0
292,BIC9112SLP,353899.0
292,AIR6410TCL,1417599.0
292,TEL8075SSG,2299999.0
292,AIR2226BGH,760999.0
292,FRE1402KJH,99099.0
292,FRE0002PBD,210299.0
292,FRE7309YEL,153499.0
292,JAR0010GAR,8399.0
292,KIT0017KON,244399.0
292,TEL5040BGH,653399.0
292,BIC9777NRD,209799.0
292,VEN2023PLO,103699.0
292,TOS0924LIL,54999.0
292,BIC1736NRD,217299.0
292,AUR0106JBL,129999.0
292,VAS0591STA,96499.0
292,VAS0783STA,142399.0
292,VEN0803IDP,105799.0
292,VEN2050LIL,118399.0
292,EXP0912LIL,34299.0
292,TAL1112HAM,299999.0
292,SIE4000ADV,79999.0
292,JGO0015FPH,62499.0
292,LSR9017SSG,1857799.0
292,LSR9014SSG,1958199.0
292,HID6510DAE,224499.0
292,MES1501INM,315599.0
292,SIL0130INM,269999.0
292,CUB0003FPH,74399.0
292,CUB0013FPH,74399.0
292,CUB0015FPH,74399.0
292,TAP0007MSM,165099.0
292,CUB0005FPH,49899.0
292,JGO0016FPH,66199.0
292,CUB0008FPH,49899.0
292,CUB0012FPH,74399.0
292,SIL0103AIM,181899.0
292,MES2222AIM,420199.0
292,CAM0101AIM,209999.0
292,SOF0102AIM,499699.0
292,TAP0009MSM,167099.0
292,TAP0013MSM,193299.0
292,CUB0001FPH,49899.0
292,TUR2075IDP,53999.0
292,COC1250MDA,218399.0
292,BIC2924NRD,346499.0
292,HEL4041LGL,1575799.0
292,VAS0004STA,47699.0
292,BIC2929NRD,346499.0
292,JOY5019SNY,164899.0
292,JUE5363SNY,116899.0
292,ALM7054NTV,33299.0
292,PLT1500PEL,114699.0
292,JGO0107AIM,538699.0
292,TUR0090ETX,111699.0
292,VEN2077IDP,82999.0
292,AUR4505PHI,41199.0
292,LAV1165DRE,1083899.0
292,SIL0155INM,257999.0
292,SIL0160INM,337999.0
292,TAP0001MSM,131799.0
292,TAP0011MSM,167099.0
292,JGO0003BEL,22299.0
292,PLA8521DAE,131299.0
292,CAL0050WHB,25699.0
292,TEL6584SSG,1509899.0
292,CAL2000IDP,81999.0
292,CAL2001IDP,70399.0
292,TAB7464PLO,149999.0
292,TAB0352LEN,688399.0
292,VEN0001PLO,107199.0
292,PAV0900TFK,61799.0
292,FRE0080TBL,214799.0
292,CAF1200ZEN,34599.0
292,FRE0060TBL,155199.0
292,MCA3206PHI,241199.0
292,AUT0000SEB,574699.0
292,DRO0010FLY,79599.0
292,VEN0001INA,132099.0
292,TOS8221DAE,57799.0
292,CAL1401ESC,530199.0
292,SEC1800ALE,34499.0
292,AUR0102JBL,129999.0
292,MOU0190LOG,18999.0
292,CUB0009FPH,49899.0
292,CUB0017FPH,74399.0
292,SAB0004FPH,66199.0
292,FUT0001INM,619999.0
292,TEL6530RCA,1009499.0
292,JGO0011FPH,62499.0
292,JGO0009FPH,37299.0
292,KIT1328MOT,295599.0
292,FRA0015FPH,21099.0
292,CAL1802IDP,26399.0
292,CAL1803IDP,26399.0
292,AFE1151PHI,73799.0
292,KIT5224MOT,541899.0
292,PAV4911ULT,102699.0
292,FRE7145DAE,96299.0
292,CAS0032HTL,36499.0
292,CON0002WHB,77199.0
292,SOP0001GRH,47199.0
292,REM0000HAM,80099.0
292,AIO1027HEW,1188199.0
292,TEL7582LGL,2299999.0
292,HOR2800ECK,119799.0
292,PIN0003HAM,25299.0
292,TEL5035NOB,566599.0
292,TOS1520SML,107399.0
292,SIE0013HAM,181999.0
292,SIE1111HAM,98799.0
292,SIE0022HAM,281099.0
292,SOP0119HAM,93599.0
292,TAL0005HAM,172099.0
292,TAL0112HAM,86999.0
292,PAR0301LGL,422299.0
292,IMP0520HEW,443599.0
292,LSR1416CAN,1416099.0
292,REP0001GRH,79899.0
292,CAL1524ATM,65199.0
292,SRP0090DRE,809499.0
292,CAL0011WHB,76599.0
292,VEN0000CRI,107099.0
292,AIR3610SUR,819199.0
292,CAL0111SEV,48199.0
292,CAL0001WHB,30899.0
292,CAL0100WHB,24899.0
292,CAL1111SEV,54499.0
292,HEL4420CAN,1510499.0
292,EST0011SEV,45099.0
292,CON1524ATM,244499.0
292,VAS0381STA,120799.0
292,AIR0026ELE,670399.0
292,AIR2901SUR,716699.0
292,KIT2436MOT,437899.0
292,LAV4740CAN,896899.0
292,SWA0030GRH,39199.0
292,no ussar,113917.57
292,NOT0284HEW,1867399.0
292,ALA4007ORL,110399.0
292,CON0001SEV,135299.0
292,SOP1250WTV,13899.0
292,SOP1150WTV,9899.0
292,PAV7000ETX,112499.0
292,TEL5591SSG,3699999.0
292,TEL8536TCL,3299999.0
292,TAP0028MSM,204999.0
292,ALA4009ORL,110399.0
292,JUE2506SNY,69899.0
