ProviderId,SKU,PRICE
292,TEL5509TCL,779099.0
292,LAV0650KJH,374299.0
292,HEL0028INA,645199.0
292,TUR1235IDP,36699.0
292,LIC2262PHI,214299.0
292,VEN0000VEN,56899.0
292,FRE9250PHI,95399.0
292,BAT7100PHI,101299.0
292,BIC2102SLP,414099.0
292,BAL8650DAE,22499.0
292,BIC7775SLP,414099.0
292,SEC9090GAM,315999.0
292,SEC2090GAM,449499.0
292,PLT2000SOL,103899.0
292,BIC8512SLP,445099.0
292,HID1400DAE,126499.0
292,REP3830ROK,112099.0
292,TEL4000PHI,480499.0
292,TEL5510SSG,989299.0
292,TEL6581PHI,1262599.0
292,TEL3231SSG,363999.0
292,TEL3205TCL,366599.0
292,REP3840ROK,87399.0
292,TEL4360SSG,516199.0
292,VEN0000LIL,329999.0
292,VEN0009LIL,222799.0
292,VEN0156SEV,142999.0
292,VEN0154SEV,148699.0
292,VEN0007INA,67999.0
292,TOS9299LIL,60299.0
292,VEN0008INA,56299.0
292,HOR7987FLO,1136199.0
292,COC1020SML,201299.0
292,HOR7967FLO,852199.0
292,LAV8054COD,238699.0
292,FEE1352INE,868499.0
292,FRE7601INA,98299.0
292,BAL7250DAE,21499.0
292,CLI0010PLO,136199.0
292,ANA6629FLO,255599.0
292,AIR1210ENO,901099.0
292,BAL7150DAE,21499.0
292,AIR3200FED,725099.0
292,AIR0910ENO,866299.0
292,AIR6501TCL,1385399.0
292,BIC1412SLP,445099.0
292,BIC1030SLP,414099.0
292,KIT0502MOT,291499.0
292,DEP2470PHI,97799.0
292,PLA2184REV,48499.0
292,TEL8590SSG,16835499.0
292,KIT2530MOT,667799.0
292,PLA2183REV,48499.0
292,KIT3911PHI,50299.0
292,BIC9713SLP,445099.0
292,PLT1003SOL,299999.0
292,TEL4305TCL,479499.0
292,TEL5873PHI,911099.0
292,SEC7732REV,42399.0
292,COR8875ATM,37399.0
292,TEL7578SSG,4904699.0
292,TEL5578SSG,3097699.0
292,KIT3931PHI,62699.0
292,PLA2111REV,47799.0
292,KIT2527MOT,789799.0
292,VIT1200BSC,2808299.0
292,SAN2330PHI,64299.0
292,PAV9396PHI,107099.0
292,LIC2626PHI,203499.0
292,LIC3000ETX,136499.0
292,VEN0003SEV,121299.0
292,VEN0023SEV,75699.0
292,VEN0016SEV,143899.0
292,AIR5701TCL,1305999.0
292,VEN0018SEV,133399.0
292,VEN0020SEV,93999.0
292,VEN0017SEV,190299.0
292,VEN0001VEN,70699.0
292,HEL4601SSG,2351499.0
292,VEN0021SEV,111099.0
292,PAV1182AST,25599.0
292,TOS2510PHI,53599.0
292,HEL3802SSG,2127499.0
292,LAV0825BGH,958299.0
292,AIR2650TCL,777199.0
292,AIR5401TCL,1175699.0
292,HEL4502SSG,1948299.0
292,EXP2323ATM,54899.0
292,HEL4142SSG,2239499.0
292,EST0000SEV,58999.0
292,BTA1300BSC,2303699.0
292,HEL4042SSG,1819599.0
292,AIR3401TCL,791199.0
292,BTA2000BSC,2757899.0
292,CLI0002INA,120999.0
292,CLI0001INA,119999.0
292,BIC7001VLP,604599.0
292,BIC7000VLP,604599.0
292,VEN0015SEV,121299.0
292,PAV1088AST,23799.0
292,PLA8080GAM,69999.0
292,SET0000KUP,130299.0
292,ASP0000HAM,264099.0
292,CAS0032HTL,40799.0
292,AIR1880MDA,1503299.0
292,AIR5350MDA,1235799.0
292,AIR3610SUR,882199.0
292,AIR2901SUR,799099.0
292,AIR6770MDA,1574099.0
292,AIR3610MDA,831199.0
292,VEN0003VEN,89199.0
292,EXH8000BRK,2457299.0
292,TEL5582PHI,829999.0
292,VEN0000IDP,36699.0
292,VEN0000DLF,32999.0
292,LAV0824BGH,943599.0
292,REP0004LUX,68099.0
292,TEN0002LUX,63199.0
292,CON0000MOR,49599.0
292,BAN0000LUX,22299.0
292,CAR0001LUX,121399.0
292,TEN0000LUX,80499.0
292,TEN0001LUX,43399.0
292,REP0006LUX,36499.0
292,SOP2150WTV,14699.0
292,SOP2350WTV,55699.0
292,HEL3301BGH,1205799.0
292,ASP0003INA,85299.0
292,ASP0002INA,380099.0
292,ASP0001INA,217899.0
292,BIC1026SLP,414099.0
292,LSR1501LGL,1599999.0
292,FEE0371NEB,1283899.0
292,LSR1380CAN,1789599.0
292,FEE4500BRK,1260199.0
292,PAR0020LGL,232399.0
292,SWA0031GRH,44399.0
292,SWA8321SSG,772599.0
292,SWA8320SSG,772599.0
292,PAR0040LGL,289199.0
292,AUR0411SSG,172699.0
292,AUR0410SSG,172699.0
292,JGO2017SNY,1724699.0
292,SOP3450WTV,77799.0
292,SOP2250WTV,24599.0
292,TEL8536TCL,3665499.0
292,SOP3350WTV,41699.0
292,SOP3250WTV,31899.0
292,BIC0005SLP,273199.0
292,SOP1150WTV,11099.0
292,BIC9115SLP,394599.0
292,BIC0006SLP,273199.0
292,LIC5012SML,102999.0
292,COC5001PBD,407299.0
292,SOP1250WTV,15599.0
292,COC7311PBD,939699.0
292,COC5002PBD,407299.0
292,BIC0007SLP,273199.0
292,PAR4000PHI,627899.0
292,PAV7000ETX,127399.0
292,PLA9100LIL,50299.0
292,TER0050EUH,258799.0
292,TER0030EUH,226699.0
292,TEL8583SSG,14590799.0
292,PAV1100ETX,53699.0
292,NOT0232HEW,1229899.0
292,LSR1025BGH,1132699.0
292,PAV5000ETX,78299.0
292,KIT0016XIA,888099.0
292,KIT1401XIA,444099.0
292,TEL6536TCL,1666199.0
292,TER0080EUH,284599.0
292,KIT0018MOT,401399.0
292,KIT5025TCL,199999.0
292,KIT2437MOT,488299.0
292,KIT0019MOT,401399.0
292,EXH3000BRK,932999.0
292,EXH5000BRK,1263199.0
292,EXH4300BRK,1253799.0
292,COC0301DRE,865399.0
292,SEC1010GAM,92399.0
292,ANA5701ECK,24699.0
292,ANA5702ECK,28399.0
292,TER4040SNL,502599.0
292,HEL4001BGH,1572199.0
292,NOT0284HEW,2082199.0
292,SRP1050IDP,133899.0
292,CON0006SML,159299.0
292,CON0005SML,159299.0
292,CON0000SML,87599.0
292,CON0004SML,119499.0
292,CON0003SML,119499.0
292,COC2010ENO,188199.0
292,CON0002SML,79599.0
292,CAL0000SML,43799.0
292,REP0001GRH,89099.0
292,FRE6666MAV,103999.0
292,TEL5584LGL,966399.0
292,NOT0251HEW,1389299.0
292,LAV6500LGL,819599.0
292,KIT2626SSG,799999.0
292,FRE0905LIL,110599.0
292,FRE0954LIL,275399.0
292,SET0000DAE,46399.0
292,DEP2270PHI,71099.0
292,PAR0301LGL,470899.0
292,NOT0273HEW,1686699.0
292,NOT0155HEW,1938199.0
292,HOR2800ECK,133499.0
292,BIC0601VLP,392199.0
292,SOP0001GRH,52599.0
292,CHO4119TAU,532199.0
292,TRI0827GAM,38599.0
292,MES0001GRH,74699.0
292,CHO4195TAU,1349399.0
292,CHO4157TAU,1080299.0
292,CHO4133TAU,948399.0
292,AFE7000GAM,46499.0
292,TEL8680LGL,3539999.0
292,JUE2506SNY,77999.0
292,AUR1112SNY,139399.0
292,TEL5035NOB,641799.0
292,TEL7582LGL,2472099.0
292,TEL4331NOB,451099.0
292,LAV4740CAN,1000099.0
292,CAL1400SNL,487199.0
292,SRP5240SSG,2224899.0
292,HOR3800ECK,143199.0
292,CAF8220PLO,732099.0
292,FEE1000INE,2149999.0
292,ANA6749FLO,451499.0
292,AIR1280MDA,993199.0
292,CAF1220PHI,1299499.0
292,CAL0140SNL,487199.0
292,CON0002WHB,86099.0
292,VAP8123ATM,102499.0
292,HEL6067LGL,5263099.0
292,AIO1027HEW,1345899.0
292,AIO1023HEW,1150999.0
292,KIT2436MOT,488299.0
292,AIR0026ELE,744899.0
292,TER0120ESC,395499.0
292,TER0045ESC,308399.0
292,PAV8970OST,104998.0
292,KIT5126MOT,823899.0
